Name,Party,Municipality,Education,Year of birth,Language,Gender,My municipality should set a maximum size for elementary school teaching groups,It is justifiable to close down small schools to cut costs,In my municipality pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools,My municipality should financially support the home care of children under the age of 3,My municipality should attract residents with a baby allowance,Schools and kindergartens should serve less meat,Schools should maintain Christian traditions,If the municipality's income and expenses must be balanced it should be done by cutting expenses rather than raising taxes,Capital gains should not be subject to municipal taxation,The municipality should primarily buy services from companies that it owns,Municipalities should help to finance regional flights,Remote support in looking for jobs is sufficient for unemployed people in small towns,If necessary the municipality should expropriate private land in order to obtain land for construction,My municipality should avoid clear-cutting in the forest areas it owns,The municipality should prioritise construction over preserving the local nature,My municipality should attract more industrial jobs even if it harms the environment,My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035,Even sparsely populated areas of my municipality should have access to public transport to reach services,Immigrants strengthen the vitality of my municipality,My municipality must refuse to accept quota refugees,My municipality should finance events that encourage interaction between different cultures,My municipality should reduce spending on immigrant integration services,Municipalities should compensate for the state cuts in theatre funding,Libraries should be self-service so that my municipality can save on staff salary costs,My municipality should show support for gender and sexual minorities by flying a Pride flag
Kaija Hannula,Kesk.,Alavieska,ylempi korkeakoulututkinto,1965,suomi,female,2,2,2,2,1,1,2,2,2,1,1,0,1,2,1,1,2,2,3,1,2,1,1,1,1
Anne Huttunen,PS,Alavieska,ylioppilas,1964,suomi,female,2,0,0,2,0,1,3,2,2,3,1,1,0,3,0,0,1,3,1,2,1,1,1,3,0
Heli Kantola,Kesk.,Alavieska,alempi korkeakoulututkinto,1982,suomi,female,3,2,2,2,2,0,1,2,2,2,1,1,2,2,1,1,0,1,1,1,1,1,1,2,1
Karita Koutonen-simonen,Sit,Alavieska,ammattitutkinto,1985,suomi,female,3,0,3,1,1,0,2,2,2,2,2,1,0,2,1,1,2,3,2,1,2,1,2,0,2
Jaana Nyman,PS,Alavieska,ylempi korkeakoulututkinto,1980,suomi,female,2,2,1,1,1,1,1,2,2,2,0,0,1,2,1,1,1,2,2,1,2,1,1,2,0
Heikki Hintsala,Sit,Alavieska,ammattitutkinto,1969,suomi,male,2,1,2,3,2,0,3,2,2,0,1,0,1,0,2,2,0,2,1,1,1,2,0,1,0
Mika Häkkinen,Kesk.,Alavieska,alempi korkeakoulututkinto,1973,suomi,male,3,2,1,1,2,1,1,2,0,2,1,1,1,3,1,1,1,3,2,1,2,0,1,1,2
Risto Isokääntä,Sit,Alavieska,ammattitutkinto,1976,suomi,male,3,0,2,3,2,0,2,3,3,3,0,0,0,3,0,0,0,3,3,0,3,1,1,0,0
Perttu Isotalus,Kesk.,Alavieska,ammattitutkinto,1986,suomi,male,2,2,3,3,3,0,3,2,1,2,1,2,1,1,1,0,1,2,1,1,1,1,1,0,0
Lauri Jääskelä,Kesk.,Alavieska,ylioppilas,1965,suomi,male,2,2,1,2,1,0,3,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1
Matti Luonuansuu,Vas.,Alavieska,alempi korkeakoulututkinto,1982,suomi,male,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,3,1,2,0,3
Heikki Malinen,PS,Alavieska,joku muu,1976,suomi,male,2,0,0,0,2,0,3,3,2,3,2,2,1,1,0,2,0,0,1,3,0,2,0,3,0
Jarmo Nahkala,Kesk.,Alavieska,ammattitutkinto,1966,suomi,male,1,2,1,3,2,0,3,2,3,0,2,0,1,0,3,2,0,2,2,1,2,1,1,1,0
Jarkko Pehkonen,PS,Alavieska,ammattitutkinto,1966,suomi,male,2,1,1,3,2,0,3,2,1,2,0,1,0,3,0,1,0,3,2,2,2,1,0,2,0
Olli Pudas,Kesk.,Alavieska,ammattitutkinto,1995,suomi,male,3,0,0,3,2,0,2,3,2,1,1,1,0,3,3,2,1,3,2,1,3,1,2,0,2
Simo Pudas,KD,Alavieska,ammattitutkinto,1990,suomi,male,2,1,1,2,2,0,2,2,2,2,1,1,0,2,0,1,0,1,2,1,2,2,1,1,0
Mika Rajaniemi,Sit,Alavieska,alempi korkeakoulututkinto,1970,suomi,male,2,1,0,2,2,0,2,2,0,2,0,1,1,2,2,1,1,2,0,1,1,2,0,1,0
Sakari Siitonen,Kesk.,Alavieska,alempi korkeakoulututkinto,1995,suomi,male,2,1,1,3,2,0,3,2,2,3,0,0,1,2,1,2,1,1,1,1,2,2,0,1,0
Jyrki Vääräkoski,Kesk.,Alavieska,ammattitutkinto,1985,suomi,male,2,1,1,3,2,0,1,2,1,1,0,0,1,0,2,1,0,2,3,0,1,1,1,1,0
Veera Heinonen,Vas.,Asikkala,ylempi korkeakoulututkinto,1990,suomi,female,3,1,3,3,2,3,2,0,0,3,0,1,1,3,0,0,3,3,3,0,3,0,3,0,2
Mari Jänisniemi-honkala,Vas.,Asikkala,joku muu,1964,suomi,female,3,0,2,2,2,0,2,2,2,2,1,3,0,3,0,1,1,3,1,1,1,1,1,1,1
Maarika Karjalainen,Liik.,Asikkala,alempi korkeakoulututkinto,1971,suomi,female,2,1,1,2,1,0,2,2,3,1,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1
Riihilahti Katja irene,Kok.,Asikkala,alempi korkeakoulututkinto,1976,suomi,female,3,2,0,2,1,1,2,3,3,2,1,0,0,2,2,1,1,1,2,1,2,1,1,1,3
Saana Kunttu,Kesk.,Asikkala,ylioppilas,1982,suomi,female,2,0,0,1,2,0,3,1,2,2,0,1,0,3,0,1,0,3,2,2,0,2,1,0,0
Heini Laitinen,Kesk.,Asikkala,ylioppilas,2006,suomi,female,0,2,0,2,1,1,1,2,1,3,0,1,0,1,2,1,2,1,2,1,3,1,1,0,1
Anne Laukkanen,Sit,Asikkala,ammattitutkinto,1962,suomi,female,2,2,2,2,1,1,2,2,1,3,1,2,1,2,2,0,1,3,2,1,2,1,2,1,2
Heidi-elina Mantere,PS,Asikkala,alempi korkeakoulututkinto,1979,suomi,female,3,0,0,1,0,0,3,2,1,2,1,0,1,2,1,2,0,3,1,3,1,2,1,1,0
Merja Palokangas-viitanen,Kok.,Asikkala,ylioppilas,1955,suomi,female,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1,0,2,1,1,1,1,1,0,0
Liisa Peltonen,Vas.,Asikkala,ylempi korkeakoulututkinto,1985,suomi,female,3,0,1,2,2,3,0,1,0,3,0,0,2,3,0,0,3,2,3,0,2,0,2,0,3
Emma Rautava,Vihr.,Asikkala,ylempi korkeakoulututkinto,1989,suomi,female,2,1,1,0,1,2,0,1,2,2,0,0,1,3,0,0,3,3,3,0,2,0,1,0,3
Henna Rautavuo-Hätönen,Sit,Asikkala,alempi korkeakoulututkinto,1979,suomi,female,1,2,1,3,0,0,3,3,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1
Sarita Saloheimo,Kok.,Asikkala,alempi korkeakoulututkinto,1925,suomi,female,3,1,0,1,0,0,3,1,2,1,0,1,0,3,0,0,0,3,2,3,0,1,1,2,0
Sini Sipponen,Kesk.,Asikkala,ammattitutkinto,1993,suomi,female,3,0,2,1,2,1,1,1,2,3,1,0,0,1,1,1,1,3,2,1,2,1,1,1,2
Tarja Tornio,Kesk.,Asikkala,alempi korkeakoulututkinto,1954,suomi,female,3,0,0,3,2,2,0,1,1,1,1,0,0,0,0,0,2,2,3,0,2,0,0,2,0
Veera Varjola,Sit,Asikkala,ylempi korkeakoulututkinto,1981,suomi,female,2,2,2,1,1,1,2,2,2,1,0,2,0,2,0,0,0,1,2,2,1,1,0,1,0
Terhi Vesterinen,Vihr.,Asikkala,ylempi korkeakoulututkinto,1958,suomi,female,3,2,2,1,1,3,0,1,1,3,0,0,1,3,0,0,3,2,3,0,3,1,1,2,2
Juha Hyttinen,Kok.,Asikkala,ammattitutkinto,1964,suomi,male,3,3,1,0,2,0,2,3,0,3,0,0,1,2,1,0,0,3,1,2,2,1,1,0,0
