Name;Party;Municipality;Education;Year of birth;Language;Language skills;Gender;My municipality should set a maximum size for elementary school teaching groups.;It is justifiable to close down small schools to cut costs.;In my municipality, pupils should have the opportunity to study Swedish in Finnish-speaking schools before the sixth grade in elementary schools.;My municipality should financially support the home care of children under the age of 3.;My municipality should attract residents with a baby allowance.;Schools and kindergartens should serve less meat.;Schools should maintain Christian traditions.;If the municipality's income and expenses must be balanced, it should be done by cutting expenses rather than raising taxes.;Capital gains should not be subject to municipal taxation.;The municipality should primarily buy services from companies that it owns.;Municipalities should help to finance regional flights.;Remote support in looking for jobs is sufficient for unemployed people in small towns.;If necessary, the municipality should expropriate private land in order to obtain land for construction.;My municipality should avoid clear-cutting in the forest areas it owns.;The municipality should prioritise construction over preserving the local nature.;My municipality should attract more industrial jobs, even if it harms the environment.;My municipality must strive to achieve carbon neutrality before Finland's national target year of 2035.;Even sparsely populated areas of my municipality should have access to public transport to reach services.;Immigrants strengthen the vitality of my municipality.;My municipality must refuse to accept quota refugees.;My municipality should finance events that encourage interaction between different cultures.;My municipality should reduce spending on immigrant integration services.;Municipalities should compensate for the state cuts in theatre funding.;Libraries should be self-service so that my municipality can save on staff salary costs.;My municipality should show support for gender and sexual minorities by flying a Pride flag.
Kaija Hannula;Suomen Keskusta;Alavieska;ylempi korkeakoulututkinto;1965;suomi;suomi, ruotsi, englanti, saksa;female;2;2;2;2;1;1;2;2;2;1;1;0;1;2;1;1;2;2;3;1;2;1;1;1;1
Anne Huttunen;Perussuomalaiset;Alavieska;ylioppilas;1964;suomi;suomi, englanti;female;2;0;0;2;0;1;3;2;2;3;1;1;0;3;0;0;1;3;1;2;1;1;1;3;0
Marika Jylli;Suomen Keskusta;Alavieska;ammattitutkinto;1983;suomi;englanti;female;2;2;2;2;2;0;2;2;2;2;0;0;1;2;1;1;2;2;2;2;2;2;1;1;3
Heli Kantola;Suomen Keskusta;Alavieska;alempi korkeakoulututkinto;1982;suomi;suomi;female;3;2;2;2;2;0;1;2;2;2;1;1;2;2;1;1;0;1;1;1;1;1;1;2;1
Karita Koutonen-simonen;Suomen Keskusta;Alavieska;ammattitutkinto;1985;suomi;suomi, englanti;female;3;0;3;1;1;0;2;2;2;2;2;1;0;2;1;1;2;3;2;1;2;1;2;0;2
Jaana Nyman;Perussuomalaiset;Alavieska;ylempi korkeakoulututkinto;1980;suomi;suomi, ruotsi, englanti;female;2;2;1;1;1;1;1;2;2;2;0;0;1;2;1;1;1;2;2;1;2;1;1;2;0
Tuura Paula marika;Kansallinen Kokoomus;Alavieska;ammattitutkinto;1983;suomi;;female;1;2;2;2;1;0;1;2;3;0;1;0;0;1;3;2;0;3;2;1;2;0;0;0;3
Laura Verronen;Suomen Keskusta;Alavieska;ammattitutkinto;1988;suomi;;female;3;2;1;3;1;1;2;2;3;2;1;1;0;2;1;1;0;1;3;1;2;1;1;1;1
Heikki Hintsala;Suomen Keskusta;Alavieska;ammattitutkinto;1969;suomi;;male;2;1;2;3;2;0;3;2;2;0;1;0;1;0;2;2;0;2;1;1;1;2;0;1;0
Mika Häkkinen;Suomen Keskusta;Alavieska;alempi korkeakoulututkinto;1973;suomi;;male;3;2;1;1;2;1;1;2;0;2;1;1;1;3;1;1;1;3;2;1;2;0;1;1;2
Risto Isokääntä;Suomen Keskusta;Alavieska;ammattitutkinto;1976;suomi;suomi;male;3;0;2;3;2;0;2;3;3;3;0;0;0;3;0;0;0;3;3;0;3;1;1;0;0
Perttu Isotalus;Suomen Keskusta;Alavieska;ammattitutkinto;1986;suomi;suomi, ruotsi, englanti;male;2;2;3;3;3;0;3;2;1;2;1;2;1;1;1;0;1;2;1;1;1;1;1;0;0
